review,summary,rating,sentiment,cleaned_review,aspects
"Looks as if some people paid up to 80$ for this. I paid around 25$ and I feel that is a fair price. Someone said something about it being a weird color? It is black. It is the same faux black leather look you are used to seeing with a nice black satin ribbon. Is this your regular Victorian era corset that will withstand someone with their foot on a wall tightening you into it? No. It is a costume piece, an accessory, a decoration. However, it does support. I matched the stats for a large size based on the chart so I got a large and it fits great! I think you will find that this product looks just like it does in the photos. One warning: I have a 36D bust and I find it somewhat difficult to uh.. how should I say, not trap them under this at least slightly. So be aware if you have a larger bust that this will require more than little ""adjusting"".",No regrets!,5.0,positive,looks as if some people paid up to for this i paid around and i feel that is a fair price someone said something about it being a weird color it is black it is the same faux black leather look you are used to seeing with a nice black satin ribbon is this your regular victorian era corset that will withstand someone with their foot on a wall tightening you into it no it is a costume piece an accessory a decoration however it does support i matched the stats for a large size based on the chart so i got a large and it fits great i think you will find that this product looks just like it does in the photos one warning i have a d bust and i find it somewhat difficult to uh how should i say not trap them under this at least slightly so be aware if you have a larger bust that this will require more than little adjusting,"['tightening costume', 'larger bust', 'black faux', 'costume piece', 'faux black']"
Fantastic item.....so cute and want to wear all the time.  Adoreable and cool. Would defintely recommend to a friend/familyShipping experience very positive...Amazon rocks,Soft and super,5.0,positive,fantastic itemso cute and want to wear all the time adoreable and cool would defintely recommend to a friendfamilyshipping experience very positiveamazon rocks,"['adoreable cool', 'recommend friendfamilyshipping', 'fantastic itemso', 'adoreable', 'itemso cute']"
I love them and you can wear them year round. I love the style .. love the comfort and relaxing .,cant go wrong with army fatigues,4.0,positive,i love them and you can wear them year round i love the style love the comfort and relaxing,"['wear year', 'love wear', 'year round', 'style love', 'love style']"
I like the wrap a lot. The color is very pretty. I must admit  I have a hard time trying to figure out how it works .When I ordered it I thought it was more like a dress. But it is nice and will come in handy when i'm at the beach.,Beach Cover Up,4.0,positive,i like the wrap a lot the color is very pretty i must admit i have a hard time trying to figure out how it works when i ordered it i thought it was more like a dress but it is nice and will come in handy when im at the beach,"['wrap', 'like wrap', 'wrap lot', 'color pretty', 'dress']"
Love the fact these never to be ironed. True Docker quality. Just in time for a midwinter cruise. All men's slacks should be made this well.,Easy care,5.0,positive,love the fact these never to be ironed true docker quality just in time for a midwinter cruise all mens slacks should be made this well,"['mens slacks', 'cruise mens', 'docker quality', 'slacks', 'true docker']"
good fit but i wore it out while i was at a bar and dancing and it just kept falling down i had to keep going and fixing it. it is very comfy and i love how it feels when i wear it because you cannot tell you have it on but i wish the top was a little more snug instead of streatchy s it wouldn't fall down,good fit but,3.0,neutral,good fit but i wore it out while i was at a bar and dancing and it just kept falling down i had to keep going and fixing it it is very comfy and i love how it feels when i wear it because you cannot tell you have it on but i wish the top was a little more snug instead of streatchy s it wouldnt fall down,"['good fit', 'fit wore', 'fit', 'fixing comfy', 'snug']"
quality wise the shirt is fine and would definitely recommend carhartt products to everyone for me personally its just to short i like to be able to tuck my shirts in and i had 2 of the waffle knit henleys 1in 3x tall 1 in 4x that were both plenty long even after washing and drying this one however i did not put in the dryer and it was still to short after washing i hope carhartt will start putting item lenghts when listing their shirts to help me with my ordering i did by a 5x sweatshirt which is barely long enough i would have bought a 5x tall if it was available but i dont see that as being an option on any of their shirts or jackets,to short after wash,3.0,neutral,quality wise the shirt is fine and would definitely recommend carhartt products to everyone for me personally its just to short i like to be able to tuck my shirts in and i had of the waffle knit henleys in x tall in x that were both plenty long even after washing and drying this one however i did not put in the dryer and it was still to short after washing i hope carhartt will start putting item lenghts when listing their shirts to help me with my ordering i did by a x sweatshirt which is barely long enough i would have bought a x tall if it was available but i dont see that as being an option on any of their shirts or jackets,"['henleys tall', 'knit henleys', 'shirts jackets', 'listing shirts', 'shirt fine']"
didnt work for my clogs It lasted a few days and then kaboommaybe the black is better?maybe i should ask for a refund?,no glue here,1.0,negative,didnt work for my clogs it lasted a few days and then kaboommaybe the black is bettermaybe i should ask for a refund,"['clogs lasted', 'clogs', 'work clogs', 'kaboommaybe black', 'black bettermaybe']"
I have to agree with some of the other reviewer comments regarding the decline in quality for Levi jeans.  The material seems a lot thinner than the last pair of jeans I purchased.  Besides the flimsy material the jeans didn't fit well either.  I have worn the same size jeans for the past several years.  I would swear the pair I just purchased on Amazon was at least a size too big. I ended up buying the size pair of Lee jeans on Amazon and they fit just right and the quality of material was a lot better.  Lee jeans has a new customer.,Questionable Quality,3.0,neutral,i have to agree with some of the other reviewer comments regarding the decline in quality for levi jeans the material seems a lot thinner than the last pair of jeans i purchased besides the flimsy material the jeans didnt fit well either i have worn the same size jeans for the past several years i would swear the pair i just purchased on amazon was at least a size too big i ended up buying the size pair of lee jeans on amazon and they fit just right and the quality of material was a lot better lee jeans has a new customer,"['levi jeans', 'quality levi', 'material jeans', 'jeans new', 'jeans material']"
I ordered the skirt and matching jacket. The jackets are smaller than what I expected even as an XXL it was still too small I had to send it back.,VERY NICE!!!!!,3.0,neutral,i ordered the skirt and matching jacket the jackets are smaller than what i expected even as an xxl it was still too small i had to send it back,"['ordered skirt', 'jackets smaller', 'xxl small', 'jacket jackets', 'matching jacket']"
"Love this set.  It is a terrific value.  You know when you look at it up close, this obviously isn't really leather, but still, a nice looking bag.  The fact that it comes with a companion piece (with its own shoulder strap) is a great bonus.",Great Bags!,5.0,positive,love this set it is a terrific value you know when you look at it up close this obviously isnt really leather but still a nice looking bag the fact that it comes with a companion piece with its own shoulder strap is a great bonus,"['really leather', 'leather nice', 'leather', 'looking bag', 'shoulder strap']"
"This shoe is very classic but way too small...I ordered a 7 my true size and I could barely stick my foot in them, I would order a full size up. These shoes had to go back.",too small,2.0,negative,this shoe is very classic but way too smalli ordered a my true size and i could barely stick my foot in them i would order a full size up these shoes had to go back,"['shoe classic', 'size shoes', 'shoe', 'true size', 'shoes']"
I may be expecting to much for the price but I was very disappointed in the quality.  To me they look cheap and feel I get much better quality at the department stores when they have sales for the same price.  I would not do it again.,Stainless Steel Rolo Cable,2.0,negative,i may be expecting to much for the price but i was very disappointed in the quality to me they look cheap and feel i get much better quality at the department stores when they have sales for the same price i would not do it again,"['look cheap', 'expecting price', 'price disappointed', 'cheap', 'quality look']"
"I ordered two Baja Hoodies for my granddaughter for Christmas, expecting them to be two different colors.  Unfortunately, both items were virtually the same.  One was supposed to be in blacks and whites, but this one should have been more vibrant.  Instead, it's only black and white as well.  I understand these vary in color, but the item sent should be at least similar to the one pictured.  I don't know if they will fit as she hasn't received them yet, but she'll be getting both.  I will offer an apology to her for the error in color selection by the seller.",Not The Same as Pictured,3.0,neutral,i ordered two baja hoodies for my granddaughter for christmas expecting them to be two different colors unfortunately both items were virtually the same one was supposed to be in blacks and whites but this one should have been more vibrant instead its only black and white as well i understand these vary in color but the item sent should be at least similar to the one pictured i dont know if they will fit as she hasnt received them yet but shell be getting both i will offer an apology to her for the error in color selection by the seller,"['baja hoodies', 'hoodies granddaughter', 'different colors', 'vary color', 'hoodies']"
"These boots fit very nicely and look great; HOWEVER, the back part of the boot is made in such a way that when you walk the entire foot is forced into the toe bed.  Most uncomfortable and impossible to wear.  They were returned promptly.",improperly made,1.0,negative,these boots fit very nicely and look great however the back part of the boot is made in such a way that when you walk the entire foot is forced into the toe bed most uncomfortable and impossible to wear they were returned promptly,"['boots fit', 'boots', 'great boot', 'boot way', 'toe bed']"
"Pretty cheap-o.  I wish I didn't have to leave more words in the review, because that about says it all. I returned it.",returned,1.0,negative,pretty cheapo i wish i didnt have to leave more words in the review because that about says it all i returned it,"['pretty cheapo', 'words review', 'cheapo', 'review', 'cheapo wish']"
"They are a great way to add support to your feet while walking around the house, instead of wearing regular street walking shoes.",Comfortable Shoes,5.0,positive,they are a great way to add support to your feet while walking around the house instead of wearing regular street walking shoes,"['walking shoes', 'support feet', 'feet walking', 'shoes', 'feet']"
For the price I was surprised. Over all the metal was good but the stones were only fair. Worth the price tho.,Satisfied,3.0,neutral,for the price i was surprised over all the metal was good but the stones were only fair worth the price tho,"['good stones', 'stones fair', 'stones', 'metal good', 'price tho']"
"Teva's are usually a well made sandal that usually run a little wide and are usually adjustable.  These aren't.  They are very cute, but they have made them too narrow and have not allowed for adjustment in the top of the foot/toe area.  I will probably return for a different style of TEVA sandal.",Returning because they are too narrow across the toe box area.,3.0,neutral,tevas are usually a well made sandal that usually run a little wide and are usually adjustable these arent they are very cute but they have made them too narrow and have not allowed for adjustment in the top of the foottoe area i will probably return for a different style of teva sandal,"['teva sandal', 'style teva', 'tevas', 'teva', 'tevas usually']"
"I wont order this products again. Gave it a try...it arrived 1 week after stated. the material is thick, yet cheap. the quality is not fantastic. Not a very yoga pant, it says there is more Lycra-than other brands Ive purchased; however Id actually like to know WHERE did they place it... because It does not seem to actually be IN the MATERIAL. :( I use them as pajamas now; they are comfy, but huge and slouchy.I will stick with the other brands. They have better quality than this one.",the feel like sweatpants :(,3.0,neutral,i wont order this products again gave it a tryit arrived week after stated the material is thick yet cheap the quality is not fantastic not a very yoga pant it says there is more lycrathan other brands ive purchased however id actually like to know where did they place it because it does not seem to actually be in the material i use them as pajamas now they are comfy but huge and slouchyi will stick with the other brands they have better quality than this one,"['yoga pant', 'yoga', 'pajamas comfy', 'fantastic yoga', 'pajamas']"
"I bought the Superfeet Berry to use in my running shoes since i have high aches and the green felt funny in the running shoes. I do however prefer the green in my hiking shoes.The Superfeet Berry works great, helps with foot pain and i believe it might be helping me run greater distances since it keeps my aches from becoming tired as fast.",Love these,5.0,positive,i bought the superfeet berry to use in my running shoes since i have high aches and the green felt funny in the running shoes i do however prefer the green in my hiking shoesthe superfeet berry works great helps with foot pain and i believe it might be helping me run greater distances since it keeps my aches from becoming tired as fast,"['superfeet berry', 'shoesthe superfeet', 'running shoes', 'berry use', 'hiking shoesthe']"
"Great earrings for the price. Needed some new stud earrings after one of my previous ones got lost. I figured I would check online to see what they have. When I saw the price for these, I thought that they must be really cheap looking. After reading the reviews, I gave them a try and they look great! Definitely can not tell they were only a couple bucks!",Nice,5.0,positive,great earrings for the price needed some new stud earrings after one of my previous ones got lost i figured i would check online to see what they have when i saw the price for these i thought that they must be really cheap looking after reading the reviews i gave them a try and they look great definitely can not tell they were only a couple bucks,"['great earrings', 'earrings price', 'stud earrings', 'earrings previous', 'earrings']"
"Kind of a weird shaped design.  I don't think I'll be wearing this, and for 10 bucks I won't be going through the hassle of returning it.  Its new home will be in the donation bag.",Not a good design,3.0,neutral,kind of a weird shaped design i dont think ill be wearing this and for bucks i wont be going through the hassle of returning it its new home will be in the donation bag,"['weird shaped', 'shaped design', 'donation bag', 'shaped', 'home donation']"
"These did not, in any way, fit as a narrow shoe (I wear a 9.5 N/AA) They were much too big overall.The quality, however looked fine, and the colour would be nice for summer.",Narrow shoes not narrow.,2.0,negative,these did not in any way fit as a narrow shoe i wear a naa they were much too big overallthe quality however looked fine and the colour would be nice for summer,"['narrow shoe', 'fit narrow', 'narrow', 'shoe wear', 'shoe']"
"So I bought this for a client, because of her endowment in relation to her petite size, she needs to find customised bras. This review is for 32C. She was looking for a strapless to use for some of her strapless dress. but i guess there's a limit to size and support. heh. with the straps on, she said its fine and comfortable. without the straps though she felt it not holding as well. maybe if your cup size is smaller ... maybe a B size this would work well for you ...",It does what it has to,3.0,neutral,so i bought this for a client because of her endowment in relation to her petite size she needs to find customised bras this review is for c she was looking for a strapless to use for some of her strapless dress but i guess theres a limit to size and support heh with the straps on she said its fine and comfortable without the straps though she felt it not holding as well maybe if your cup size is smaller maybe a b size this would work well for you,"['customised bras', 'bras review', 'strapless dress', 'cup size', 'looking strapless']"
"A little snug, not as I expected. adjusting straps didn't really help still a tight fit; other wise for ano underwire not bad.",No wire brs.,3.0,neutral,a little snug not as i expected adjusting straps didnt really help still a tight fit other wise for ano underwire not bad,"['ano underwire', 'tight fit', 'adjusting straps', 'underwire bad', 'snug']"
This bra has seaming inside that rubbed 4 raw places on my breast after only 4 miles.  The wicking was also less than desirable.  Looks like I have been bitten by something.,Don't recommend,2.0,negative,this bra has seaming inside that rubbed raw places on my breast after only miles the wicking was also less than desirable looks like i have been bitten by something,"['bra seaming', 'bra', 'breast', 'places breast', 'breast miles']"
"My second one so far. I have no complaints about this bra. I like the color, I like the lift, and I love the price.","Good, firm support at a great price.",5.0,positive,my second one so far i have no complaints about this bra i like the color i like the lift and i love the price,"['complaints bra', 'bra', 'bra like', 'lift love', 'lift']"
"The sports bra fits nicely. It's not too tight or loose. BUT, the seams on the front are not smooth. They are lumpy.",Lumpy Seams,4.0,positive,the sports bra fits nicely its not too tight or loose but the seams on the front are not smooth they are lumpy,"['bra fits', 'sports bra', 'bra', 'loose seams', 'seams smooth']"
"I am 5'7 female with a small regular ACU top, I bought this and found it to fit just right. It might be a little short if you are taller, it sometimes comes out from being tucked in my pants but the ACU top covers it. It is nice and soft. Stays that way wash after wash. I would buy this again and most likely will.",Good,4.0,positive,i am female with a small regular acu top i bought this and found it to fit just right it might be a little short if you are taller it sometimes comes out from being tucked in my pants but the acu top covers it it is nice and soft stays that way wash after wash i would buy this again and most likely will,"['pants acu', 'acu covers', 'regular acu', 'female small', 'short taller']"
"i would not say it's great, but its not bad either, for this price its definiitely what i expected, nothing more nothing less",Its ok,3.0,neutral,i would not say its great but its not bad either for this price its definiitely what i expected nothing more nothing less,"['bad price', 'bad', 'price definiitely', 'great bad', 'say great']"
"Stylish, is what comes to mind when I wear this. Easy to put on and take off. Can be worn with the clasp up or down on the wrist. And goes with most any clothing you wear. And,,, oh yeah,,,,,,,, It's a perfect fit !!!!","very fine,,,,",5.0,positive,stylish is what comes to mind when i wear this easy to put on and take off can be worn with the clasp up or down on the wrist and goes with most any clothing you wear and oh yeah its a perfect fit,"['stylish', 'stylish comes', 'wear easy', 'easy worn', 'worn clasp']"
I was really disappointed in this purchase because I though the dress was really cute. The waist & arms are normal size but the neck hole was so small I couldn't even get my head through the hole..,Neck hole WAY too small,1.0,negative,i was really disappointed in this purchase because i though the dress was really cute the waist arms are normal size but the neck hole was so small i couldnt even get my head through the hole,"['purchase dress', 'dress', 'dress really', 'waist arms', 'size neck']"
I returned the product immediately as the shoe runs very small.,One Star,1.0,negative,i returned the product immediately as the shoe runs very small,"['shoe runs', 'shoe', 'immediately shoe', 'runs small', 'returned product']"
Cheap looking. But what could I expect for only .99 cents?! My diamond never fell off but it looks cheap.,:(,1.0,negative,cheap looking but what could i expect for only cents my diamond never fell off but it looks cheap,"['cents diamond', 'diamond fell', 'diamond', 'looks cheap', 'cheap looking']"
"Spacious, comfortable and cheap. I recommend this bag for medium-weight everyday work and college. 3-4 spaious pockets help in good arrangement of your stuff.",Good backpack for the price,5.0,positive,spacious comfortable and cheap i recommend this bag for mediumweight everyday work and college spaious pockets help in good arrangement of your stuff,"['spacious comfortable', 'recommend bag', 'spacious', 'bag mediumweight', 'pockets help']"
"I have been wearing these for a few weeks now and I love them. They are comfortable, they don't chafe between my toes and they fit perfectly. They look nice too.",Great Sandals,5.0,positive,i have been wearing these for a few weeks now and i love them they are comfortable they dont chafe between my toes and they fit perfectly they look nice too,"['chafe toes', 'toes fit', 'toes', 'comfortable dont', 'comfortable']"
"I received these boots after reading mixed reviews.1. I wear a size 14 jean and these were entirely too small in the shaft. I have regular shaft boots that are wider shaft. (Check out Bandolino's they're perfect.)2. There wasn't a rainboot shine to them.3. They fit VERY narrow. So if you have a wide foot? Forget it. Also order a half size up from what you would normally, or if you're inbetween sizes go a size up. The toe area is VERY snug and almost uncomfortable. I have a very narrow foot, too!4. There is elastic in the back, it does stretch but not much. The inside of this boot was labeled wide shaft.One star for being a good looking boot, and another star for how quiet they are when you walk. (This was useful at work)",These aren't wide calf.,2.0,negative,i received these boots after reading mixed reviews i wear a size jean and these were entirely too small in the shaft i have regular shaft boots that are wider shaft check out bandolinos theyre perfect there wasnt a rainboot shine to them they fit very narrow so if you have a wide foot forget it also order a half size up from what you would normally or if youre inbetween sizes go a size up the toe area is very snug and almost uncomfortable i have a very narrow foot too there is elastic in the back it does stretch but not much the inside of this boot was labeled wide shaftone star for being a good looking boot and another star for how quiet they are when you walk this was useful at work,"['boots wider', 'shaft boots', 'received boots', 'size jean', 'narrow foot']"
"I wear an 8, but found this to slip on my heel some so I added heel cushions and it is great.  The Crocs Grace Pump has a very comfortable foot bed and good grips on the bottom.  I can wear this shoe all day long.  I expect it to last for years.","Finally, a heel for all day",4.0,positive,i wear an but found this to slip on my heel some so i added heel cushions and it is great the crocs grace pump has a very comfortable foot bed and good grips on the bottom i can wear this shoe all day long i expect it to last for years,"['heel cushions', 'slip heel', 'comfortable foot', 'wear shoe', 'wear slip']"
"I really love these pants for work, but they wrinkle SO BAD! I have to pull them out of the dryer IMMEDIATELY otherwise they look like an elephants buttcheeks. Maybe thats an exaggeration... but they are wrinkle-prone, so expect that if you buy these. Otherwise they're great work pants :]","Nice pants, wrinkly!",3.0,neutral,i really love these pants for work but they wrinkle so bad i have to pull them out of the dryer immediately otherwise they look like an elephants buttcheeks maybe thats an exaggeration but they are wrinkleprone so expect that if you buy these otherwise theyre great work pants,"['work wrinkle', 'work pants', 'wrinkle bad', 'pants work', 'wrinkle']"
"Fits well and looks ok, I haven't tried them in the field yet but so far so good. A lot of pocket space.",Fits Well,3.0,neutral,fits well and looks ok i havent tried them in the field yet but so far so good a lot of pocket space,"['fits looks', 'pocket space', 'field far', 'fits', 'lot pocket']"
Very warm and just the right design. But the size is WAY bigger than expected. I ordered the small pair and the packaging said small- but these dwarfed my hands like I am a 5 year old.,TOO BIG,3.0,neutral,very warm and just the right design but the size is way bigger than expected i ordered the small pair and the packaging said small but these dwarfed my hands like i am a year old,"['warm', 'warm just', 'hands like', 'small pair', 'dwarfed hands']"
My husband has not had these briefs very long and I have already noticed that the elastic at the waist is starting to stretch out.  Either they are a bit too tight or the elastic is not as strong as it appears.  I am thinking that they are just a bit too tight.,Okay,3.0,neutral,my husband has not had these briefs very long and i have already noticed that the elastic at the waist is starting to stretch out either they are a bit too tight or the elastic is not as strong as it appears i am thinking that they are just a bit too tight,"['briefs long', 'husband briefs', 'elastic waist', 'briefs', 'tight elastic']"
"I thought this was a super fun piece because it was so weird, though it is quite cheaply made, and I needed to make some alterations.the hoops that hold the chains to the buck are really large, and get caught on everything.  The chains are all different sizes, which I thought was weird, because some just dangle off the wrist in a weird way....so I kept the shortest chains as is, and then cut the others down to size.Please note, this bracelet is very small.  for example, I wear a hair tie around my wrist, and it barely leaves a dent, and this bracelet has just a teeny bit of room to move around when I wear it.","funky, but improper sized chains",3.0,neutral,i thought this was a super fun piece because it was so weird though it is quite cheaply made and i needed to make some alterationsthe hoops that hold the chains to the buck are really large and get caught on everything the chains are all different sizes which i thought was weird because some just dangle off the wrist in a weird wayso i kept the shortest chains as is and then cut the others down to sizeplease note this bracelet is very small for example i wear a hair tie around my wrist and it barely leaves a dent and this bracelet has just a teeny bit of room to move around when i wear it,"['bracelet small', 'bracelet', 'bracelet just', 'wrist weird', 'tie wrist']"
They are very average shoes.  Please don't buy them thinking they are better than any quality shoe on the market.  Go to a Vasque dealer and get better shoes.,Clark Oxfords,2.0,negative,they are very average shoes please dont buy them thinking they are better than any quality shoe on the market go to a vasque dealer and get better shoes,"['quality shoe', 'average shoes', 'better shoes', 'shoes', 'shoe market']"
"I love it because it covers over your bottom.  I am slender and short anyway but the waist is a little tight on me, I should have ordered one size up but was afraid it would be too big in the bra.",Very flatttering!,4.0,positive,i love it because it covers over your bottom i am slender and short anyway but the waist is a little tight on me i should have ordered one size up but was afraid it would be too big in the bra,"['big bra', 'short waist', 'bra', 'slender short', 'waist little']"
Bought as a gift for a relative. The panties appear to be well made and of good quality. Recipient was pleased.,Gift,5.0,positive,bought as a gift for a relative the panties appear to be well made and of good quality recipient was pleased,"['panties appear', 'panties', 'relative panties', 'good quality', 'quality']"
"The necklace looks brilliant and my girlfriend fell in love with it at first; however, a few weeks into owning it the center blue gem fell off which needed to be super glued back on. Shortly after that, two of the small white gems have fallen off. Terrible quality.","Cheaply made, do not buy.",1.0,negative,the necklace looks brilliant and my girlfriend fell in love with it at first however a few weeks into owning it the center blue gem fell off which needed to be super glued back on shortly after that two of the small white gems have fallen off terrible quality,"['necklace looks', 'necklace', 'gems fallen', 'blue gem', 'gems']"
"Merrill shoes never disappoint me. I walk 5+ miles a day and when ever I replace my shoes it's with Merrill shoes. No break in needed, comfortable from the minute you put them on.I have a narrow foot but need a large toe box . I used to buy shoes a size too large to get the extra toe room. Once I discovered these shoes I didn't have to do that anymore.",Never disappoints!,5.0,positive,merrill shoes never disappoint me i walk miles a day and when ever i replace my shoes its with merrill shoes no break in needed comfortable from the minute you put them oni have a narrow foot but need a large toe box i used to buy shoes a size too large to get the extra toe room once i discovered these shoes i didnt have to do that anymore,"['shoes merrill', 'merrill shoes', 'shoes size', 'shoes break', 'replace shoes']"
I HAVE BEEN USING THESE FOR YEARS. THE SHIRTS ARE HEAVY DUTY. THEY ARE NOT GLAMOROUS OR HAVE A FANCY LOGO.,GOOD STRAIGHT FORWARD PRODUCT,5.0,positive,i have been using these for years the shirts are heavy duty they are not glamorous or have a fancy logo,"['shirts heavy', 'shirts', 'years shirts', 'fancy logo', 'logo']"
this items i bought for my mother.  the beads are glued onto the &#34;Feathers&#34; and look fine.  its much lighter than i expected.,is actually very delicate,4.0,positive,this items i bought for my mother the beads are glued onto the feathers and look fine its much lighter than i expected,"['glued feathers', 'feathers look', 'beads glued', 'mother beads', 'feathers']"
"From active military requirements to civilian use, V-neck undershirts are worn as underwear and jammies.  I like to use one size larger than required.  Hanes has provided good value and wear ability for me.  Recommend this vendor and item.",underwear,4.0,positive,from active military requirements to civilian use vneck undershirts are worn as underwear and jammies i like to use one size larger than required hanes has provided good value and wear ability for me recommend this vendor and item,"['undershirts worn', 'vneck undershirts', 'undershirts', 'underwear jammies', 'worn underwear']"
